"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;"Цена поставщика";Валюта;Наличие;Описание;"Изображение 1";"Изображение 2";"Изображение 3";"Изображение 4";"Изображение 5";"Изображение 6";"Изображение 7";"Изображение 8";"Изображение 9";"Изображение 10";"Изображение 11";"Изображение 12";"Изображение 13";"Изображение 14";"Изображение 15";"Изображение 16";"Изображение 17";Вес;Габариты;Производитель;"Ссылка на товар";ID
Бассейны;"Чаши и запчасти для бассейнов";;;56420ASS18;"Чаша каркасного бассейна 366*122см";9960;12450;RUB;"В наличии";;https://basseyn.ru/upload/iblock/5dd/5ddf4e93cf633b24ebb542708d0d2074.jpg;;;;;;;;;;;;;;;;;;;;https://basseyn.ru/catalog/chashi-zapchasti-dlya-basseynov/chasha-karkasnogo-basseyna-366-122sm_1/;01316247992
Бассейны;"Чаши и запчасти для бассейнов";;;56421ASS17;"Чаша каркасного бассейна 366*122см";9960;12450;RUB;"В наличии";;https://basseyn.ru/upload/iblock/c38/c3862118045268d0c64043f822211af5.jpg;;;;;;;;;;;;;;;;;;;;https://basseyn.ru/catalog/chashi-zapchasti-dlya-basseynov/chasha-karkasnogo-basseyna-366-122sm/;0220732948
Бассейны;"Чаши и запчасти для бассейнов";;;5187976;"Чаша круглая для бассейна 200 х 140 см, 0.4/0.4 мм. Мрамор";10000;12500;RUB;"В наличии";;https://basseyn.ru/upload/iblock/dcd/od6z2e9i42yt95390u4f4uo0c0ibe6yx.jpg;;;;;;;;;;;;;;;;;;;;https://basseyn.ru/catalog/chashi-zapchasti-dlya-basseynov/chasha-kruglaya-dlya-basseyna-200-kh-140-sm-0-4-0-4-mm-mramor/;01775123565
Бассейны;"Чаши и запчасти для бассейнов";;;5187969;"Чаша круглая для бассейна 200 х 140 см, 0.4/0.4 мм. Голубая";10000;12500;RUB;"В наличии";;https://basseyn.ru/upload/iblock/e2e/cv61bxw5jib0p1wb2xny1pvuttz4cbvy.jpg;;;;;;;;;;;;;;;;;;;;https://basseyn.ru/catalog/chashi-zapchasti-dlya-basseynov/chasha-kruglaya-dlya-basseyna-200-kh-140-sm-0-4-0-4-mm-golubaya/;2063176491
Бассейны;"Каркасные бассейны";"Каркасные бассейны Intex";;28702;"Каркасный бассейн Prism Frame 305x76см, 4485л, фил.-насос 1250л/ч, Intex, 28702";10070;12580;RUB;"В наличии";"<ul><li>Снят с производства: Да</li> <li>Вес упаковки (кг): 19.16</li> <li>Форма бассейна: Круглый</li> <li>Серия бассейна: Prism Frame</li> <li>Страна производства: КИТАЙ</li> <li>Тип фильтр-насоса: Картриджный насос</li> <li>Производительность фильтра л/ч: 1250</li> <li>Объем, л: 4485</li> <li>Длина/Диаметр, см: 305</li> <li>Высота, см: 76</li> <li>Время установки, мин: 30</li> <li>Объем упаковки (м3): 0.1</li></ul><br/><br/>Сборно-разборный круглый каркасный бассейн Intex 28702 305x76см. серии Prism Frame с фильтр-насосом. <br>
Чаша бассейна изготовлена по запатентованной технологии SUPER-TOUGH из высококачественного трехслойного ПВХ: два слоя плотного винила и один — полиэстер для особой прочности. Для дополнительной защиты и поддержания формы используется лента из полипропилена, «опоясывающая» весь бассейн. Стойки каркаса усиленные стальные с специальным антикоррозийным покрытием. Конструкция бассейна прочная, выдерживает высокие нагрузки, благодаря чему бассейном могут активно пользоваться одновременно несколько человек.<br>
<br>
Установка каркасного бассейна Intex 28702 максимально простая. Нужна лишь плоская горизонтальная поверхность. Нет необходимости в насыпке песка, грунта, бетонировании площадки или подготовки ямы для последующего заглубления. Процесс установки бассейна до наполнения водой занимает 30 минут.<br>
<br>
Каркасные бассейны Интекс Prism Frame относятся к сезонным бассейнам, рекомендуется разбирать конструкцию на холодное время года. Сливной клапан, который присоединяется к садовому шлангу позволит быстро слить воду из бассейна на зимний период.																						<div><h4>Основные характеристики</h4>
								Размеры : высота 76 см, диаметр 305 см<br>
Объем: 4 485 л при 90&#37; заполнении<br>
Вес упаковки: 19,160 г</div>							
							   
														
														<h4>Видео</h4>
							   <div><p></div>	
							   
							 

														   
														<h4>Инструкции и руководства</h4>
							   <div>Инструкция<br></div>";https://basseyn.ru/upload/iblock/ae9/ae9a4bd1ec516620aee93d23d55d7aca.jpg;https://basseyn.ru/upload/iblock/cda/cdab74dcdc0805db38b955b3581fdccc.png;https://basseyn.ru/upload/iblock/509/509e05ab6372ab825b6db0108a6ff9b6.jpg;https://basseyn.ru/upload/iblock/7b2/7b2fe024e49fd6ca32045e6f59d86730.jpg;https://basseyn.ru/upload/iblock/7c6/7c6d53a8d7d4b67a69cbffd1987092da.jpg;;;;;;;;;;;;;;;;https://basseyn.ru/catalog/karkasnye-basseiny-intex/karkasnyy-basseyn-prism-frame-305x76-sm-4485l-filtr-nasos-1250l-ch/;1912120593
Бассейны;"Каркасные бассейны";"Каркасные бассейны Intex";;28712;"Каркасный бассейн Prism Frame 366x76см, 6503л, фил.-насос 2006л/ч, Intex, 28712";10080;12590;RUB;"В наличии";"<ul><li>Снят с производства: Да</li> <li>Вес упаковки (кг): 24.649</li> <li>Форма бассейна: Круглый</li> <li>Серия бассейна: Prism Frame</li> <li>Страна производства: КИТАЙ</li> <li>Тип фильтр-насоса: Картриджный насос</li> <li>Производительность фильтра л/ч: 2006</li> <li>Объем, л: 6503</li> <li>Длина/Диаметр, см: 366</li> <li>Высота, см: 76</li> <li>Время установки, мин: 45</li> <li>Объем упаковки (м3): 0.115</li></ul><br/><br/>Сборно-разборный круглый каркасный бассейн Intex 28712 366x76см. серии Prism Frame с фильтр-насосом. <br>
Чаша бассейна изготовлена по запатентованной технологии SUPER-TOUGH из высококачественного трехслойного ПВХ: два слоя плотного винила и один — полиэстер для особой прочности. Для дополнительной защиты и поддержания формы используется лента из полипропилена, «опоясывающая» весь бассейн. Стойки каркаса усиленные стальные с специальным антикоррозийным покрытием. Конструкция бассейна прочная, выдерживает высокие нагрузки, благодаря чему бассейном могут активно пользоваться одновременно несколько человек.<br>
<br>
Установка каркасного бассейна Intex 28712 максимально простая. Нужна лишь плоская горизонтальная поверхность. Нет необходимости в насыпке песка, грунта, бетонировании площадки или подготовки ямы для последующего заглубления. Процесс установки бассейна до наполнения водой занимает 45 минут.<br>
<br>
Каркасные бассейны Интекс Prism Frame относятся к сезонным бассейнам, рекомендуется разбирать конструкцию на холодное время года. Сливной клапан, который присоединяется к садовому шлангу позволит быстро слить воду из бассейна на зимний период.																						<div><h4>Основные характеристики</h4>
								Размеры : высота 76 см, диаметр 366 см<br>
Объем: 6 503 л при 90&#37; заполнении<br>
Вес упаковки: 24, 649 кг</div>							
							   
														
														<h4>Видео</h4>
							   <div><p></div>	
							   
							 

														   
														<h4>Инструкции и руководства</h4>
							   <div>Инструкция<br></div>";https://basseyn.ru/upload/iblock/e9a/e9ac1b8a9a46f6907c260922c5ff0ec6.jpg;https://basseyn.ru/upload/iblock/78a/78a6c12a0cf62fd26697260491803fba.jpg;https://basseyn.ru/upload/iblock/92f/92f26cc909c1f4e1483f87a5e2400ede.jpg;https://basseyn.ru/upload/iblock/51a/51aa96240001c02985d2238b4793ddd2.jpg;https://basseyn.ru/upload/iblock/ade/ade01d54ee65f74917af1956f6c3dd81.jpg;https://basseyn.ru/upload/iblock/55b/55b9c5da7ec1e653863f238c084e557d.jpg;https://basseyn.ru/upload/resize_cache/iblock/50e/1500_1500_1/50ebf34441a6632e83e9c178ce72b007.jpg;;;;;;;;;;;;;;https://basseyn.ru/catalog/karkasnye-basseiny-intex/karkasnyy-basseyn-prism-frame-366x76-sm-6503l-filtr-nasos-2006l-ch/;01275290409
Бассейны;"Каркасные бассейны";"Каркасные бассейны Bestway";;"56411 BW";"Каркасный бассейн Steel Pro 300х201х66см, 3300л, фил.-насос 1249л/ч, Bestway, 56411 BW";10080;12600;RUB;"В наличии";"<ul><li>Вес упаковки (кг): 19.74</li> <li>Форма бассейна: Прямоугольный</li> <li>Серия бассейна: Steel Pro (Bestway)</li> <li>Страна производства: КИТАЙ</li> <li>Тип фильтр-насоса: Картриджный насос</li> <li>Производительность фильтра л/ч: 1249</li> <li>Объем, л: 3300</li> <li>Длина/Диаметр, см: 300</li> <li>Ширина, см: 201</li> <li>Высота, см: 66</li> <li>Время установки, мин: 45</li> <li>Объем упаковки (м3): 0.082</li></ul><br/><br/>Прямоугольный каркасный бассейн Bestway 56411 отличается высокой прочностью и устойчивостью. Чаша выполнена из высококачественного трехслойного ПВХ: два слоя плотного винила и между ними сетка из полиэстера для особой прочности. Цвет чаши бассейна снаружи синий, внутренняя поверхность имеет расцветку под мозаику. Каркас металлический, покрытый предотвращающим появление коррозии слоем пластика.<br>
 <br>
 Не требует бетонирования и подготовки ямы, все, что нужно, это плоская, горизонтальная площадка. Сезонный бассейн (рекомендуется разбирать на холодное время года) обладает простой конструкцией - может быть легко разобран и собран заново. Время сборки и подключения бассейна составляет около 20 мин.<br>
 <br>
 Удобный сливной клапан позволяет присоединить садовый шланг, что дает возможность слить воду в любое место.<br>
 <br>
В комплект поставки входят фильтр-насос производительностью 1249 л/ч для очистки и циркуляции воды, картридж, шланги и хомуты, необходимые для подключения к бассейну.																						<div><h4>Основные характеристики</h4>
								<ul>
	<li>• Размер: 300 х 201 х 66 см.</li>
	<li>
	• Максимальные монтажные размеры: 355 x 255 см.</li>
	<li>
	• Объем при 90% заполнении бассейна: 3300 литров</li>
	<li>
	• Подкладка для бассейна из прочного материала DuraPlus ™.</li>
	<li>
	• Цвет синий</li>
	<li>
	• Подключение фильтровальной системы (Ø 32 мм)</li>
	<li>
	• Возможна простая сборка без инструментов</li>
	<li>
	• FrameLink System ™ с пластиковыми Т-образными соединителями предотвращает ржавчину между стержнями и защищает от деформации.</li>
	<li>
	• Конструкция из стальных труб с антикоррозийным покрытием</li>
	<li>
	• Встроенный сливной клапан с адаптером для садового шланга</li>
	<li>
	• Производительность фильтр-насоса: 1249 л/ч</li>
</ul>
<br></div>							
							   
															<div><h4>Комплектация</h4>
								<ul>
	<li>Бассейн</li>
	<li>
	Фильтрационный насос&nbsp;&nbsp;#58381</li>
	<li>
	Ремкомплект</li>
	<li>
	Инструкция</li>
</ul></div>";https://basseyn.ru/upload/iblock/171/tydf0adl1ds9qhvmg6kdl6dc4vn1vu39.jpeg;https://basseyn.ru/upload/iblock/da5/xn3wk780mq1335dj3cb298yhoqwaw6p7.jpeg;https://basseyn.ru/upload/iblock/520/lsxwajtmoveh5fj5gnf6ndbsr1j95rzv.jpeg;https://basseyn.ru/upload/iblock/c72/wifsbpw33a0ff7icgxcgrjs7bu64xxry.jpeg;https://basseyn.ru/upload/iblock/1e5/qmc4gsd02t4m9osy8r54ias67842zpmd.jpeg;https://basseyn.ru/upload/iblock/a8d/dvwmstie033ljykn4cramp391v8bnax4.jpeg;;;;;;;;;;;;;;;https://basseyn.ru/catalog/karkasnye-basseiny-bestway/karkasnyy-pryamougolnyy-basseyn-300kh201kh66-sm-3300-l-filtr-nasos-1249-l-ch/;01680732522
Бассейны;"Чаши и запчасти для бассейнов";;;11987;"Чаша для каркасного бассейна см, Metal Frame Pool";10120;12650;RUB;"В наличии";"<ul><li>Вес упаковки (кг): 19.83</li> <li>Страна производства: КИТАЙ</li> <li>Объем упаковки (м3): 0.08</li></ul><br/><br/>";https://basseyn.ru/upload/iblock/2cd/2cd7cecde7aae5bac77fcf90b5742a50.jpg;;;;;;;;;;;;;;;;;;;;https://basseyn.ru/catalog/chashi-zapchasti-dlya-basseynov/chasha-dlya-karkasnogo-basseyna-sm-metal-frame-pool/;075150477
Бассейны;"Каркасные бассейны";;;"5617N BW";"Каркасный бассейн 305х100см, 6148л";10240;12800;RUB;"В наличии";"<ul><li>Форма бассейна: Круглый</li> <li>Тип фильтр-насоса: Нет</li> <li>Объем, л: 6148</li> <li>Длина/Диаметр, см: 305</li> <li>Высота, см: 100</li> <li>Время установки, мин: 30</li></ul><br/><br/>Каркасный бассейн Bestway Steel Pro 305х100 см (5617N BW).<br>
 Каркасный бассейн Bestway 5617N отличается высокой прочностью и устойчивостью. <br>
 Имеет высоту 100 см, подходящую для комфортного купания как взрослым, так и детям.<br>
 Чаша выполнена из высококачественного трехслойного ПВХ: два слоя плотного винила и один полиэстер для особой прочности.<br>
 Каркас металлический нержавеющий оцинкованный.<br>
 Не требует бетонирования и подготовки ямы, все, что нужно, это плоская, горизонтальная площадка. Сезонный бассейн (рекомендуется разбирать на холодное время года) обладает простой конструкцией - может быть легко разобран и собран заново. <br>
 Время сборки и подключения бассейна не более 1-2 часов.<br>
 <br>
 Удобный сливной клапан позволяет присоединить садовый шланг, что дает возможность слить воду в любое место.<br>
 <br>
 Характеристики:<br>
 Размеры : высота 100 см, диаметр 305 см<br>
 Объем: 6148 л при 90% заполнении<br>
 Время сборки: 30 мин.<br>
 Размеры упаковки: 32х40х87 см<br>
Вес: 19,5 кг";https://basseyn.ru/upload/iblock/12c/12c6740dff31985114148833b4551702.jpg;;;;;;;;;;;;;;;;;;;;https://basseyn.ru/catalog/karkasnye-basseiny/karkasnyy-basseyn-305kh100sm-6148l_1/;0271923470
Бассейны;"Каркасные бассейны";"Каркасные бассейны Summer Escapes (Polygroup)";;P20-1042;"Каркасный бассейн 305х107см, 6300л";10640;13300;RUB;"В наличии";"<ul><li>Вес упаковки (кг): 25.8</li> <li>Форма бассейна: Круглый</li> <li>Страна производства: КИТАЙ</li> <li>Тип фильтр-насоса: Нет</li> <li>Объем, л: 6300</li> <li>Длина/Диаметр, см: 305</li> <li>Высота, см: 107</li> <li>Время установки, мин: 30</li> <li>Объем упаковки (м3): 0.154</li></ul><br/><br/>Практичный сборный каркасный бассейн Summer Escapes Р20-1042, обладает оригинальной конструкцией, которая позволяет собрать бассейн за 25-30 минут, без особых физических усилий. &nbsp;Чаша бассейна изготовлена из высококачественного трехслойного ПВХ. Стойки каркаса металлические с покрытием. При сборке бассейна следуйте рекомендациям, указанным в инструкции. Бассейн поставляется без аксессуаров.&nbsp;Дополнительно вы можете приобрести аксессуары для каркасного бассейна Summer Escapes Р20-1042																						<div><h4>Основные характеристики</h4>
								<ul>
	<li>Форма: круглый</li>
	<li>
	Вес 28кг.</li>
	<li>
	Размеры: 305 x 106 см.</li>
	<li>
	Размер упаковки:&nbsp;32х36х107 см</li>
	<li>
	Объем бассейна: 6,298 л.</li>
	<li>
	Время сборки: 30 мин.</li>
</ul></div>							
							   
															<div><h4>Комплектация</h4>
								<ul>
	<li>Бассейн Summer Escapes</li>
	<li>
	Сливной клапан</li>
	<li>
	Переходник 32/38мм под фильтрующий насос в комплекте.</li>
	<li>
	Руководство по эксплуатации</li>
	<li>
	
</li></ul></div>";https://basseyn.ru/upload/iblock/204/cvf1h8e17y3njcv8ol61oy5qdqlzk1cp.jpg;https://basseyn.ru/upload/iblock/49d/w8e5ast32f0c2jpltyttia3cgfiused2.jpg;;;;;;;;;;;;;;;;;;;https://basseyn.ru/catalog/karkasnye-basseiny-polygroup/karkasnyy-basseyn-305kh106-sm-6300l/;896662827
